Jitter_Std,Trial,RMSE,Hilbert_IF_Var,Hilbert_Diff
0.5,0,1.601252701353838,0.0012923147103225902,0.0001952608376894543
0.5,1,0.9008921925289909,0.0013486869757261763,0.0001388885722858682
0.5,2,1.6303007361403004,0.0012602441968421524,0.0002273313511698921
0.5,3,1.593532793196626,0.0013539737109303307,0.00013360183708171374
0.5,4,1.3928133585236668,0.0013711899996437073,0.00011638554836833717
1.0,0,1.6804720692868769,0.0013482211069426803,0.00013935444106936415
1.0,1,1.1555023200868013,0.0013376354626718104,0.0001499400853402341
1.0,2,1.6828996688911135,0.0012908725174794126,0.00019670303053263187
1.0,3,1.698347757365534,0.001354714110242953,0.00013286143776909155
1.0,4,1.5513292904594882,0.0014511758588710854,3.6399689140959035e-05
2.0,0,1.6487472081578696,0.0013131470314995766,0.0001744285165124679
2.0,1,1.3177882579801707,0.0012912576182062202,0.00019631792980582424
2.0,2,1.7216305625183486,0.0014139391121527698,7.363643585927464e-05
2.0,3,1.6329516906587047,0.00134524806108769,0.0001423274869243544
2.0,4,1.6154942407781252,0.001252080753615456,0.00023549479439658838
3.0,0,1.5892406810590214,0.0015580671236448231,7.049157563277864e-05
3.0,1,1.371640761628597,0.0013761093931774788,0.0001114661548345657
3.0,2,1.6639330743078506,0.00147933277307588,8.242774936164385e-06
3.0,3,1.5884957880600061,0.0014379068663444214,4.9668681667623064e-05
3.0,4,1.658618482796904,0.0013075112628387865,0.00018006428517325802
